   2,  Aston Martin, 2011, Aquamarine,35995
   3,  Volkswagen, 1985,     Fuscia,39409
   4,    Cadillac, 2007,       Pink,49090
   5,     Mercury, 2006,       Blue,30688
   6,       Honda, 2011,       Teal,44274
   7,        Audi, 2002,       Pink,35004
   8,         Kia, 2013,     Orange,32461
   9,   Chevrolet, 1982,       Blue,35999
  10,        Audi, 1994,     Maroon,30941
  11,       Volvo, 2000,      Khaki,32146
  12,         GMC, 2007,     Fuscia,42712
  13,   Chevrolet, 2006,       Mauv,37377
  14,    Plymouth, 1993,       Puce,40930
  15,        Ford, 2010,     Fuscia,34107
  16,     Pontiac, 1992,       Puce,39449
  17,      Nissan, 2012,       Mauv,42755
  18,       Lexus, 2010,       Pink,37609
  19,         GMC, 2004,  Goldenrod,35238
  20,       Mazda, 1992,      Green,40738
  21,       Isuzu, 2007,     Purple,34911
  22,  Mercedes-Benz, 1992,      Green,34311
  23,     Pontiac, 1988,       Mauv,34723
  24,      Toyota, 1999,      Khaki,36749
  25,    Cadillac, 2006,     Yellow,45576
  26,     Hyundai, 1994,  Turquoise,43423
  27,       Lotus, 1989,       Puce,44661
  28,      Suzuki, 2006,        Red,39633
  29,      Toyota, 1998,     Orange,34383
  30,  Mercedes-Benz, 1993, Aquamarine,39202
  31,      Toyota, 2002,     Orange,41246
  32,         GMC, 2004,  Goldenrod,42729
  33,      Toyota, 2007,       Teal,44036
  34,      Hummer, 1998,  Goldenrod,43225
  35,       Acura, 2010,     Maroon,45808
  36,  Mitsubishi, 2001,     Purple,41242
  37,       Buick, 1988,       Mauv,34188
  38,    Chrysler, 1995,       Teal,40091
  39,     Lincoln, 2011,     Yellow,42718
  40,   Chevrolet, 2004,       Teal,30566
  41,     Pontiac, 1987,       Teal,47150
  42,  Mitsubishi, 1994,        Red,47622
  43,       Buick, 1984,       Mauv,49432
  44,      Nissan, 2011,        Red,46051
  45,         GMC, 2006,       Puce,37527
  46,    Chrysler, 1993,     Orange,38929
  47,         GMC, 2001,     Orange,33363
  48,    Cadillac, 1992,       Puce,46064
  49,  Lamborghini, 2000,       Pink,43335
  50,     Mercury, 2001,     Violet,33247
